行,取引先名,法人番号,採用値_億円,金額の出所,余裕率,G列,I列
3491,株式会社ムーンスター,7290001049191,302.0,G列,0.7,302億円（2025年6月期・単体）,○ 妥当（余裕僅少・要再確認推奨）：moonstar.co.jpをドメイン限定で照会し、自社企業情報ページに「売上高302億円（2025年6月期）・従業員728名（2025年6月期）」の記載を確認しG列と一致。株式会社ムーンスター（法人番号7290001049191）は非上場の親会社で単体判定、§3-3問題なし。ただし300億基準に対する余裕が約2億と本ブロックで最も薄い。2026年6月期の値は承
3458,株式会社シード,7010001003408,303.36,G列,1.1,303.36億円（2026年3月期・単体）,"○ 妥当：株式会社シード（東証スタンダード7743）は上場親会社のため連結値可（§3-3）。2026年3月期決算短信（2026年5月11日開示）で連結売上高339億4,200万円（前期比2.1%増）を確認し300億基準をクリア。G列の単体303.36億円も基準超えだが余裕が約3億と極めて薄いため、根拠は連結339.42億円に置くのが安全。単体303.36億と連結339.42億の差36億は子会社分と"
1213,フォーデイズ株式会社,6010001056010,303.61,I列(訂正),1.2,303億円（2026年3月期・単体）,"○ 妥当（G列訂正：303.61億円（2026年3月期・単体））：日本流通産業新聞オンラインで2026年3月期売上高303億6,100万円（前期比1.7％減）、経常利益26億8,900万円を確認。新聞社記事で決算期・売上高明記のため承認ソース（§3-4-4）。G列「303億円」は概数で誤りではないが正確には303.61億円。非上場・単体、親子問題なし、株式会社。ただし300億基準に対しマージンわず"
4114,ＡＭＧホールディングス株式会社,7180001049070,304.18,G列,1.4,304.18億円（2025年3月期・連結）,"○ 妥当（要注意・最新期未確認）：2025年3月期連結売上高30,417百万円＝304.17億円は決算短信（2025/5/14）とIRBANK転載（304億1765万円・前期比4.57%増）で二重確認、翌期予想「320億円（前期比5.2%増）」からの逆算とも整合。持株会社の連結値で§3-3適合。ただし①最新の2026年3月期決算短信（2026/5/14公表）の売上実績は5クエリ検索しても取得できず"
1227,株式会社ホンダカーズ静岡,8080001009100,304.38,I列(訂正),1.5,330.6229億円（2026年3月期・単体）,"○ 妥当（G列訂正：304.3760億円（2025年3月期・単体））：自社HP会社概要で確認できるのは売上高304億3,760万円（2025年3月決算期）、従業員419名（2025年3月現在）。G列の「330.6229億円（2026年3月期）」は自社HP・新聞・公的機関いずれの承認ソースでも再現できず、2026年3月期の数値は未公表と判断。株主は「本田技研工業株式会社 他3名」＝本田技研の子会社に"
1730,ネッツトヨタ茨城株式会社,8050001002000,307.0,G列,2.3,307億円（2025年3月期・単体）,"○ 妥当（反証検証済み）：自社HP会社概要を独立に再検索し、売上高307億円（2025年3月決算）を資本金4,800万円・社員537名・設立1969年4月・新車26店舗＋中古車併売10店舗とセットで再現。当該法人単独の値でグループ合算ではない。なお同名紛れの「ネッツトヨタつくば」（ハタヤHDが全株取得）は別法人で取り違えなし。反証できず○維持。ただし基準300億に対し余裕2.3%しかなく、次期で微"
717,株式会社エーアイテイー,3120001075217,307.98,G列,2.7,307.98億円（2026年2月期・単体・営業収益）,○ 妥当：東証プライム上場の親会社（国際フォワーダー）のため連結採用可。2026年2月期の連結営業収益583.99億円（前期比5.0%増、営業利益41.96億円）を確認。G列の単体307.98億円は300億ぎりぎりで単独では脆いが、親会社判定により連結583.99億円で条件充足が確定。原文表記は「営業収益」。
3239,株式会社流通サービス,9030001035744,308.0,G列,2.7,308億円（2026年3月期・単体）,"○ 妥当：自社サイト企業概要で「売上高308億円（2026年3月期）」を確認し、自社ドメイン限定の再検索でも同値を再現（採用ページ「数字で見る流通サービス」も同様）。埼玉県草加市遊馬町の消費物流・生協物流企業で、法人番号9030001035744・所在地・従業員5,006名と整合し同名企業の取り違えなし。ただし基準300億に対する超過幅が8億円と極めて薄く、次期決算の下振れや期ズレで反転しうる要監"
1686,大成ユーレック株式会社,3010701005574,308.11,G列,2.7,308.11億円（2026年3月期・単体）,○ 妥当（G列訂正必須：308.11億円/2026年3月期を4回の独立検索で一度も再現できず）：一般検索・金額シード検索・u-lec.comドメイン限定検索・官報決算公告検索の4本すべてで「2026年3月期の売上高データは見つからない」と返り、返るのは一貫して376億78百万円（2025年3月期）のみ。G列の数値・決算期は1次の誤りの疑いが濃厚。ただし376.78億円の出所はマイナビ/Wikipe
1180,株式会社ミルックス,8010001058475,308.2,G列,2.7,308.20億円（2026年3月期・単体）,"○ 妥当（本ブロック最薄・要再確認）：清水建設グループの子会社だが単体308.20億円（令和8年＝2026年3月期）で§3-3適合。308億2,000万円＝308.20億円で桁検算一致。■最大の弱点：基準300億に対し余裕わずか2.7%。承認ソース（自社HP会社概要）の記載として1次が採った値だが、2回の検索で2026年3月期308.20億を承認ソース側から再現できず、返ったのは2025年3月期3"
