行,取引先ID,法人番号,取引先名,判定,G列,指摘コード,指摘内容
4,001Nn00000eVELU,2010401046060,フォンテラジャパン株式会社,○,859.71億円（2025年7月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
5,001Nn00000eVEba,6180001081173,ヤマザキマザックトレーディング株式会社,△,確認不可,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
8,001Nn00000eVM5z,1180001093025,加藤化学株式会社,△,確認不可,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
10,001Nn00000eVM6U,2180001094419,豊田スチールセンター株式会社,×,【300億未満】189.65億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
22,001Nn00000eVVXc,7290001012769,株式会社翔薬,○,"1,970.68億円（2026年3月期・単体）",CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
53,001Nn00000eVVuv,3130001000082,アイフル株式会社,○,"2,146.93億円（2026年3月期・連結）",SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
63,001Nn00000eVVws,7130001024920,オムロンヘルスケア株式会社,○,845.19億円（2025年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
66,001Nn00000eVVwy,3120001087781,ニプロファーマ株式会社,○,"1,054.01億円（2026年3月期・単体）",CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
67,001Nn00000eVVwz,9080401001457,株式会社杏林堂薬局,○,"1,385.69億円（2026年2月期・単体）",CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
68,001Nn00000eVVx3,9050001011652,タカノフーズ株式会社,○,990.03億円（2024年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
91,001Nn00000eVW3X,2120001135426,ヤンマーアグリジャパン株式会社,○,"1,723.73億円（2026年3月期・単体）",CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
109,001Nn00000eVW4O,1100001024474,シチズンマシナリー株式会社,○,487.63億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
130,001Nn00000eVWAd,1010801018437,水ｉｎｇ株式会社,○,829.37億円（2025年3月期・連結）,SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
156,001Nn00000eVWPy,5013301019125,株式会社コンチェルト,○,411億円（2026年3月期）,CATR_MIXED,catr.jp出典（§7-1 承認可否が先方未確認）
157,001Nn00000eVWPz,8020001070990,日揮触媒化成株式会社,○,407.13億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
160,001Nn00000eVWQT,1010401078212,古河産業株式会社,○,"1,269億円（2024年3月期・連結）",SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
161,001Nn00000eVWQt,7010001050391,千代田工販株式会社,○,559.73億円（2026年3月期）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
162,001Nn00000eVWRX,2010001135668,ＭＳＤ株式会社,○,"3,595.26億円（2025年12月期）",CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
165,001Nn00000eVWV6,9180001056841,日産プリンス名古屋販売株式会社,△,確認不可,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
166,001Nn00000eVWVA,8120001059636,栗原工業株式会社,○,959.62億円（2025年9月期）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
176,001Nn00000eVWlu,9010401009424,原子燃料工業株式会社,×,【300億未満】173.45億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
179,001Nn00000eVWm0,1010501016237,日本マタイ株式会社,○,451.20億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
216,001Nn00000eVXVY,1250001003050,ＵＢＥマシナリー株式会社,○,502.74億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
220,001Nn00000eVXax,8010001037330,伊藤忠ＴＣ建機株式会社,○,383.35億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
228,001Nn00000eVXp9,6010701009572,三菱電機フィナンシャルソリューションズ株式会社,○,789.88億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
231,001Nn00000eVXsy,9350001008560,株式会社ミヤチク,○,652.82億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
232,001Nn00000eVXt1,5180001038884,トヨタカローラ名古屋株式会社,○,688.74億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
233,001Nn00000eVXt3,2020001028235,株式会社日新,○,"1,908.06億円（2025年3月期・連結）",DUP_NAME,"同名が2件（行[233, 3297]）§6-2"
273,001Nn00000eVYIB,1010001142079,兼松ペトロ株式会社,×,【300億未満】287.39億円（2026年3月期・単体）,CATR_ONLY,catr.jp出典（§7-1 承認可否が先方未確認）
480,001Nn00000eVaBD,3120901017607,株式会社アミューズ,△,確認不可,DUP_NAME,"同名が2件（行[480, 3499]）§6-2"
484,001Nn00000eVaBo,1140001005982,株式会社アプレ,△,確認不可,DUP_NAME,"同名が2件（行[484, 2796]）§6-2"
651,001Nn00000eVcCV,8140001014630,神戸トヨペット株式会社,○,875.49億円（2025年・単体）,BANNED_SOURCE;GOV_JOBSITE,禁止ソースURL（job-）: https://job-navi.city.toyooka.lg.jp/company/ktoyopet / 自治体の求人ナビ（公的機関か求人媒体か要判断）: https://job-navi.city.toyooka.lg.jp/company/ktoyopet
715,001Nn00000eVcVg,9010001061924,日本瓦斯株式会社,○,"1,937.70億円（2026年3月期・単体）",DUP_NAME,"同名が2件（行[715, 2097]）§6-2"
723,001Nn00000eVcXE,8012701003116,株式会社フロンティア,△,確認不可,DUP_NAME,"同名が2件（行[723, 3986]）§6-2"
766,001Nn00000eVcoM,3250001012776,小松物産株式会社,△,確認不可,DUP_NAME,"同名が2件（行[766, 3246]）§6-2"
835,001Nn00000eVdVG,1200001001471,岐阜プラスチック工業株式会社,○,"1,137億円（2024年度・グループ連結）",SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
862,001Nn00000eVdhO,2010401046465,ジンマー・バイオメット合同会社,×,対象外（合同会社）,DUP_NAME;DUP_HOUJIN,"同名が2件（行[862, 2128]）§6-2 / 法人番号重複（行[862, 2128]）"
883,001Nn00000eVdpO,2011701006035,株式会社日本産業,△,確認不可,DUP_NAME,"同名が2件（行[883, 3513]）§6-2"
893,001Nn00000eVdyf,1130001079482,株式会社水上,△,確認不可,DUP_NAME,"同名が2件（行[893, 2242]）§6-2"
912,001Nn00000eVeNC,2370001022987,株式会社ワールド,△,確認不可,DUP_NAME,"同名が2件（行[912, 2891]）§6-2"
1125,001Nn00000eVgPK,9060001036392,藤田金属株式会社,△,確認不可,DUP_NAME,"同名が2件（行[1125, 1593]）§6-2"
1348,001Nn00000eVih1,6011101026423,株式会社モンテローザ,○,551億円（2026年3月期・連結）,SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
1593,001Nn00000eVkPe,8010001055654,藤田金属株式会社,△,確認不可,DUP_NAME,"同名が2件（行[1125, 1593]）§6-2"
1626,001Nn00000eVkcj,2120001039189,東洋紙業株式会社,×,【300億未満】293.6億円（2026年3月期・単体）,DUP_NAME,"同名が2件（行[1626, 2017]）§6-2"
1643,001Nn00000eVkin,7210001000640,株式会社大西商事,○,470億円（2025年5月実績）,GOV_JOBSITE,自治体の求人ナビ（公的機関か求人媒体か要判断）: https://291jobs.pref.fukui.lg.jp/shinsotsu/search/detail.php?ID=51
1647,001Nn00000eVkjE,8010001007886,三井海洋開発株式会社,○,"4,581百万USドル（2025年12月期・連結売上収益）",OK_NO_AMOUNT,H列○だがG列から金額を読み取れない
2017,001Nn00000eVpTP,4120001150200,東洋紙業株式会社,×,【300億未満】293.6億円（2026年3月期・単体）,DUP_NAME,"同名が2件（行[1626, 2017]）§6-2"
2034,001Nn00000eVpZ3,2010001101505,ＪＦＥ建材株式会社,○,515.32億円（2025年3月期・連結）,SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
2097,001Nn00000eVqXg,4340001003385,日本瓦斯株式会社,×,【300億未満】299.13億円（2026年3月期・単体）,DUP_NAME,"同名が2件（行[715, 2097]）§6-2"
2128,001Nn00000eVr0S,2010401046465,ジンマー・バイオメット合同会社,×,対象外（合同会社）,DUP_NAME;DUP_HOUJIN,"同名が2件（行[862, 2128]）§6-2 / 法人番号重複（行[862, 2128]）"
2242,001Nn00000hstjV,3120001090356,株式会社水上,△,確認不可,DUP_NAME,"同名が2件（行[893, 2242]）§6-2"
2450,001Nn00000ht0MH,4010001008789,前田建設工業株式会社,○,"4,937.68億円（2025年3月期・単体）",DUP_NAME,"同名が2件（行[2450, 3987]）§6-2"
2643,001Nn00000ht0RH,5020001029800,株式会社光洋,△,確認不可,DUP_NAME,"同名が2件（行[2643, 3447]）§6-2"
2656,001Nn00000ht0Rr,8010001093803,株式会社アシスト,○,537億円（2025年度・単体）,DUP_NAME,"同名が2件（行[2656, 2657]）§6-2"
2657,001Nn00000ht0Rs,8010601027540,株式会社アシスト,△,確認不可,DUP_NAME,"同名が2件（行[2656, 2657]）§6-2"
2659,001Nn00000ht0Rx,8010001065835,株式会社ガイア,△,確認不可,DUP_NAME,"同名が2件（行[2659, 3006]）§6-2"
2707,001Nn00000ht0UY,9080002018306,有限会社新日邦,△,確認不可,KAKU_NOT_NG,社名に「有限会社」を含むがH列が×でない
2727,001Nn00000ht0YN,5380001017554,株式会社ダイエー,△,確認不可,DUP_NAME,"同名が2件（行[2727, 2898]）§6-2"
2782,001Nn00000ht14u,8180001092318,株式会社セントラル,△,確認不可,DUP_NAME,"同名が2件（行[2782, 3518]）§6-2"
2796,001Nn00000ht1Jj,8030001037849,株式会社アプレ,○,"2,187億円（2024年度・単体）",DUP_NAME,"同名が2件（行[484, 2796]）§6-2"
2891,001Nn000013RlWV,4140001024328,株式会社ワールド,△,確認不可,DUP_NAME,"同名が2件（行[912, 2891]）§6-2"
2898,001Nn000013Rt9W,4140001005666,株式会社ダイエー,△,確認不可,DUP_NAME,"同名が2件（行[2727, 2898]）§6-2"
2962,001Nn000013RtAh,8050001020679,株式会社タイヨー,○,"1,512億円（2025年9月期・単体）",DUP_NAME,"同名が2件（行[2962, 3403]）§6-2"
3006,001Nn000013Ryh8,4010101009638,株式会社ガイア,△,確認不可,DUP_NAME,"同名が2件（行[2659, 3006]）§6-2"
3246,001Nn000013SNyd,7370001003347,小松物産株式会社,△,確認不可,DUP_NAME,"同名が2件（行[766, 3246]）§6-2"
3297,001Nn000013SdXq,2270001003832,株式会社日新,○,380億円（2026年3月末実績・単体）,DUP_NAME,"同名が2件（行[233, 3297]）§6-2"
3324,001Nn000013SdZQ,4011101001064,株式会社アデランス,○,793.59億円（2026年2月期・連結）,SUB_CONSOLIDATED,子会社と明記され連結値の疑い。§3-3により子会社は単体300億以上のみOK
