取引先 ID,法人番号,取引先名,Web サイト,売上（範囲）,アポインターメモ_検索用,,
001Nn00000eVELJ,1050001001165,常洋水産株式会社,https://www.joyosuisan.com/,"5: 300億円以上~1,000億円未満",,398.64億円（2026年3月期・単体）,○ 自社HP会社概要に「(2026年3月期) 売上高 398.64億円」と明記 https://www.joyosuisan.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81
001Nn00000eVELT,9300001008400,伊藤ハム米久フーズ株式会社,https://itohamwest.co.jp/,"5: 300億円以上~1,000億円未満",,"1,228億円（2026年3月期・単体）","○ 伊藤ハム米久HDの子会社だが単体で1,228億円。自社HP企業概要に「売上高 1,228億円（2026年3月期）」と明記 https://www.itoham-yonekyu-holdings.com/foods/"
001Nn00000eVELU,2010401046060,フォンテラジャパン株式会社,https://www.fonterra.com/jp/ja.html,"6: 1,000億円以上",,859.71億円（2025年7月期・単体）,"○ 決算公告（官報・第45期、2025年7月31日決算）売上高859億7,100万円。Fonterra(NZ)の日本法人だが単体で300億超 https://catr.jp/companies/620b2/148115/settlements/cc9b1/435657"
001Nn00000eVEba,6180001081173,ヤマザキマザックトレーディング株式会社,,"5: 300億円以上~1,000億円未満",,確認不可,"△ 確認不可。自社HP(mazak.com会社概要)・IR・EDINET・TDnet・gBizINFO・採用ページ・親会社ヤマザキマザックまで確認したが直近3期の記載なし。最新の売上高が非公表。2020年3月期時点では1,445.88億円（官報決算公告第58期） https://catr.jp/companies/6a0df/27605"
001Nn00000eVM5f,7010001034873,カーギルジャパン合同会社,https://www.cargill.co.jp,"6: 1,000億円以上",ツジアイ0612,対象外（合同会社）,× 法人格。直アポ大は株式会社のみ。合同会社のため対象外
001Nn00000eVM5o,2010401082262,東和産業株式会社,https://www.towa-js.co.jp/,"6: 1,000億円以上",サトウリョウト26/08/07,確認不可,△ 確認不可。自社HP企業情報（売上高記載なし）・IR・EDINET・TDnet・gBizINFO・採用ページを確認。官報決算公告は貸借対照表のみで売上高非掲載かつ最新が2020年4月期。禁止ソースのみ https://www.towa-js.co.jp/business/company-information/
001Nn00000eVM5z,1180001093025,加藤化学株式会社,https://www.katokagaku.co.jp/corporate/company.html,"5: 300億円以上~1,000億円未満",／請求書システム導入済み,確認不可,△ 確認不可。自社HP企業情報・採用サイト「数字で見る加藤化学」・IR・EDINET・gBizINFOまで確認したが売上高の記載なし。官報決算公告(2024年3月期)も貸借対照表のみで売上高非掲載。禁止ソースのみ https://catr.jp/companies/612d5/209710
001Nn00000eVM6E,6180001036004,ゴムノイナキ株式会社,http://www.inaki.co.jp,"5: 300億円以上~1,000億円未満",,428.20億円（2026年4月期・単体）,"○ 自社HP会社概要（2026年4月30日現在）売上高42,820百万円＝428.20億円。決算期4月30日 https://inaki.co.jp/company/profile.html"
001Nn00000eVM6U,2180001094419,豊田スチールセンター株式会社,http://www.toyotasc.jp/index.html,"5: 300億円以上~1,000億円未満",,【300億未満】189.65億円（2026年3月期・単体）,× 300億未満（189.65億円・第66期）。豊田通商の子会社で現商号は豊通メタルソリューションズ株。収益認識基準で純額表示化し旧基準では686.64億円(2021年3月期)。官報決算公告 https://catr.jp/companies/f5f17/26831/settlements/f6d91/478256
001Nn00000eVM6a,6010701007411,株式会社ＪＡＬＵＸ,https://www.jalux.com,"5: 300億円以上~1,000億円未満",🔵MC:管理本部／総務人事部／総務課 03-6367-8800 / 橋本政和 取締役（双日常務執行役員人事担当本部長）,426.92億円（2026年3月期・単体）,○ 日本航空の子会社だが単体売上高426.92億円（参考：連結892.26億円/2025年3月期）。第65期決算公告の損益計算書 https://www.jalux.com/documents/ir/jalux_closing_2606.pdf
001Nn00000eVM6f,4100001025387,綿半ソリューションズ株式会社,http://watahan.co.jp/group/solutions,"5: 300億円以上~1,000億円未満",,376.34億円（2026年3月期・単体）,○ 綿半HDの子会社だが単体で376.34億円。綿半HD有価証券報告書(第78期)「関係会社の状況」主要な損益情報等 https://contents.xj-storage.jp/xcontents/AS99965/63896e26/4170/42e8/bd68/2358a3cd6b2d/S100YJZ2.pdf
001Nn00000eVM6p,4500001004796,ヤマキ株式会社,http://www.yamaki.co.jp/,"5: 300億円以上~1,000億円未満",／,524億円（2025年度・単体）,○ 自社HP会社概要に「売上高 524億円（2025年度）」と明記 https://www.yamaki.co.jp/corporate/greeting.html
001Nn00000eVU37,1240001030013,エフピコ商事株式会社,http://www.fp-trading.jp/index.html,"5: 300億円以上~1,000億円未満",6/23シモムラソウノスケ,309億円（2025年3月期・単体）,○ エフピコの子会社だが単体で309億円（親の連結値ではない）。自社HP会社概要に「売上高 309億円（2025年3月期）」と明記 https://www.fp-trading.jp/company/outline/
001Nn00000eVVX8,8140001059873,大和工業株式会社,https://www.yamatokogyo.co.jp/company/summary/,"5: 300億円以上~1,000億円未満",🔵MC:人事部／人事課 079-273-1064 ｜🎯360:人事部／人材開発課 079-257-0350,"1,603.89億円（2026年3月期・連結）","○ 決算短信（2026年4月30日）連結売上高160,389百万円＝1,603.89億円 https://contents.xj-storage.jp/xcontents/AS08507/dff406e5/f5f9/462d/a842/fb3664b7410d/140120260428513638.pdf"
001Nn00000eVVXG,3470001000263,アオイ電子株式会社,https://www.aoi-electronics.co.jp/,"5: 300億円以上~1,000億円未満",／,383.23億円（2026年3月期・連結）,"○ 決算短信（2026年5月8日）連結売上高38,323百万円＝383.23億円 https://www.aoi-electronics.co.jp/wp-content/uploads/2026/05/20260508-1.pdf"
