行,取引先ID,法人番号,取引先名,最終判定,G列の訂正指示,I列_検証結果
98,001Nn00000eVW3i,1140001010033,株式会社ニチリン,架電可（G列訂正あり）,"G列訂正：正確には736.68億円）：2025年12月期の連結売上高736億6,800万円を確認","○ 妥当（G列訂正：正確には736.68億円）：2025年12月期の連結売上高736億6,800万円を確認。G列「736億円」は端数を落とした表記のため、736.68億円（2025年12月期・連結）と記載するのが正確。判定は変わらない。なお自社HP会社概要記載の単体349億円も300億を超えるため、仮に子会社判定になっても§3-3を満たす。"
145,001Nn00000eVWO1,3010401035013,株式会社日本ケアサプライ,架電可（G列訂正あり）,"G列訂正：単体表記に是正）：2026年3月期の連結売上高349億2,988万円（前期比+9.1%）を決算短信（TDnet ID 20260511523714／2026年5月12日開示）で独立再確認","○ 妥当（G列訂正：単体表記に是正）：2026年3月期の連結売上高349億2,988万円（前期比+9.1%）を決算短信（TDnet ID 20260511523714／2026年5月12日開示）で独立再確認。ただし当社は三菱商事の連結子会社であり、§3-3では子会社は単体で判定するためG列は「345.32億円（2026年3月期・単体）」と記すべき（連結値の採用は§6-4に抵触）。単体・連結いずれも300億超のため判定は○のまま。※単体345.32億円は1次が有報から引用した値で、本反証では独立再現に至らず。"
168,001Nn00000eVWbF,1011801030720,株式会社サンベルクス,架電可（G列訂正あり）,"G列訂正：「単体」表記は誤りの可能性大）：反証検証で、1,402億円（2026年2月期）を金額シードで検索すると株式会社サンベルクスではなく「株式会社サンベルクスホールディングス」の数値として返り（正社員1,4","○ 妥当（G列訂正：「単体」表記は誤りの可能性大）：反証検証で、1,402億円（2026年2月期）を金額シードで検索すると株式会社サンベルクスではなく「株式会社サンベルクスホールディングス」の数値として返り（正社員1,480名／パート4,552名・2025年12月現在）、sunbelx.comにドメイン限定して同じ金額をシードすると当該値は返らず採用サイトの「サンベルクスホールディングスグループ全体で売上高1,200億円突破を目前」のみが返った。よって1,402億円はHDグループ全体の値であり、株式会社サンベルクス(1011801030720)は同HD傘下の事業会社＝§3-3の子会社と見るのが妥当で、単体値は承認ソース上に明示がない。ただしスーパーベルクス53店舗・従業員約6,000名を運営する中核事業会社であり単体が300億を下回る余地はないため架電可否は○を維持。G列は「1,402億円（2026年2月期・サンベルクスHDグループ）」と訂正し、単体値は未確認と注記されたい。"
190,001Nn00000eVXBY,1140001060846,ハリマ共和物産株式会社,架電可（G列訂正あり）,"G列訂正：598.43億円が正）：2026年3月期（連結、コード7444）の連結売上高は59,843百万円＝598.43億円（前期比3.2%減、純利益15億1,300万円）","○ 妥当（G列訂正：598.43億円が正）：2026年3月期（連結、コード7444）の連結売上高は59,843百万円＝598.43億円（前期比3.2%減、純利益15億1,300万円）。G列は598.44億円で端数1百万円ぶんの差があるため厳密には598.43億円に訂正。300億以上・連結・上場親会社という判定自体は変わらず架電可否は○のまま。決算期は直近期で鮮度問題なし。"
191,001Nn00000eVXBZ,1120001087841,ピップ株式会社,架電可（G列訂正あり）,"G列訂正：決算期・単体連結の別が未記載）：反証検証で2,215億円をシード検索したところ、ピップ株式会社の決算公告（第79期）として売上高2,210億9,200万円が返り、G列の2,215億円と一致しなかった（","○ 妥当（G列訂正：決算期・単体連結の別が未記載）：反証検証で2,215億円をシード検索したところ、ピップ株式会社の決算公告（第79期）として売上高2,210億9,200万円が返り、G列の2,215億円と一致しなかった（第79期＝単体。営業利益6.14億／経常利益20.79億／純利益14.29億）。§6-1の桁・数値照合上、G列の「2,215億円」は221,509百万円と221,092百万円の読み違い、または単体と別系統（グループ2,676億円）の混在が疑われる。またpipjapan.co.jpにドメイン限定しても会社概要ページ上に売上高の記載を再現できず、出所は決算公告（catr.jp＝§7-1の未承認ソース）に依存している。ただし単体・グループのいずれの系統でも2,200億円超で300億を大幅に超え、同社はフジモトHD等を傘下に持つグループ親会社のため§3-3上どちらでも適合し架電可否は○。G列は「約2,211億円（第79期・単体／決算公告）」と決算期を特定のうえ訂正されたい。"
196,001Nn00000eVXBy,1430001010672,株式会社ツルハ,架電不可（元△判定が妥当と確認）,G列訂正,"○ 妥当（G列訂正）：判定○は維持。ただし1次の「ツルハHD有報 関係会社の状況 126,019百万円(2025年5月期)」は金額シード検索で一度も再現せず、citation を確認できない。代わりにツルハHD自社HP IR「2024年5月期決算説明会資料」の事業会社別売上高が承認ソース経路として存在し、(株)ツルハ＝150,826百万円(＝1,508.26億円)との返りと87,112百万円との返りが混在し値は未確定。いずれにせよ1,433店舗を擁するグループ中核事業会社で単体871〜1,508億円と300億を大きく超え、子会社単体基準§3-3を満たすため判定は安定。G列の金額・決算期は原本PDF照合で確定させること。"
201,001Nn00000eVXNm,1020001052483,オートコムジャパン株式会社,架電可（G列訂正あり）,G列訂正：975億円（2025年9月期）がより新しい）：自社ドメインの採用ページ「数字で見るオートコムジャパン」(corporate.autocj.co.jp/recruit/date/)に売上高推移が掲載され,○ 妥当（G列訂正：975億円（2025年9月期）がより新しい）：自社ドメインの採用ページ「数字で見るオートコムジャパン」(corporate.autocj.co.jp/recruit/date/)に売上高推移が掲載され、2021年9月期354億円→2022年9月期754億円→2023年9月期754億円→2024年9月期897億円→2025年9月期975億円。G列の897億円（2024年9月期）は1期古いため975億円（2025年9月期）へ更新されたい。いずれにせよ300億を大きく超え架電可否は○のまま。同社は非上場だが自社ドメインの採用ページは§5-3の承認ソース9系統に該当。適格請求書番号T1020001052483による法人番号一致という既存注記も妥当。
237,001Nn00000eVXtA,8010701016022,東芝テック株式会社,架電可（G列訂正あり）,"G列訂正：子会社のため採用値は連結ではなく単体）：2026年3月期の連結売上高5,692.65億円は日本経済新聞の決算記事でも裏が取れ、数値・決算期自体は正しい","○ 妥当（G列訂正：子会社のため採用値は連結ではなく単体）：2026年3月期の連結売上高5,692.65億円は日本経済新聞の決算記事でも裏が取れ、数値・決算期自体は正しい。ただし同社は東芝の連結子会社（約50%出資）であり、§3-3により子会社はグループ連結を使えず「単体」300億以上でのみ可。G列が『5,692.65億円（2026年3月期・連結）』と連結値のみを記載しているのは判定根拠として不適切で、決算短信の個別業績＝2,688.61億円（268,861百万円・2026年3月期・個別）を採用値とすべき。※本検証では個別268,861百万円を承認ソース上で再現できず（連結値のみが返る）、決算短信PDF巻末の個別業績で最終確認を推奨。単体でも300億を大幅超過するため架電可否は○のまま。"
245,001Nn00000eVY2N,9011001036346,テルウェル東日本株式会社,架電可（G列訂正あり）,G列訂正：採用値・決算期が承認ソースで再現できず）：G列『607億円（2025年度）』は自社ドメイン（telwel-east.co.jp）へのドメイン限定検索を2回（うち1回は金額607億をシード指定）行っても,○ 妥当（G列訂正：採用値・決算期が承認ソースで再現できず）：G列『607億円（2025年度）』は自社ドメイン（telwel-east.co.jp）へのドメイン限定検索を2回（うち1回は金額607億をシード指定）行っても一度も再現しなかった。再現できたのは①官報決算公告（catr.jp収録）の2024年3月期・単体売上高602億15百万円、②2025年3月期（決算末日2025/3/31）は決算公告が貸借対照表のみで売上高の記載なし（純利益6億円・利益剰余金33.65億円・総資産80.74億円のみ）、③『2025年3月時点614億円』はマイナビ・Wikipedia・就活会議・Compalyze等の禁止ソースにのみ掲載（§6-6）。よってG列の607億円という値と『2025年度』という期はいずれも根拠不明で、602.15億円（2024年3月期・単体）に訂正すべき。判定自体は、NTT東日本傘下の子会社だが単体で600億円規模＝300億を大幅超過のため○のまま。※602.15億円の出典はcatr.jp経由のため§7-1（承認可否未確定）に留意、正式出典は自社HP会社概要・会社案内PDFで取り直すこと。
294,001Nn00000eVYcn,4290801020346,株式会社ワールドインテック,架電可（G列訂正あり）,G列訂正：金額に疑義）：ワールドHDの子会社だが単体で300億を大きく超えるため架電可否は○,"○ 妥当（G列訂正：金額に疑義）：ワールドHDの子会社だが単体で300億を大きく超えるため架電可否は○。ただしG列の988.57億円は再現できず、2025年12月期のワールドインテック売上高を1,212.32億円（従業員19,662名）とする情報がある。ワールドHD連結は約2,844億円（2026年12月期予想3,003.26億円＝前期比+5.6%から逆算）で、G列は連結値の誤用ではないことは確認。H列引用の有報URL（202603_Release-1.pdf）は本検証で実在確認できず、要再取得。"
