行,取引先ID,法人番号,取引先名,I列_検証結果,J列_ソース
2,001Nn00000eVELJ,1050001001165,常洋水産株式会社,○ 妥当（1次の△を覆す）：どちらの数値を採っても300億を大きく超え、架電可否の結論は動かない。追加でjoyosuisan.com「会社概要」「ごあいさつ」を3クエリ再検索したが、いずれも1次と同じ「2025年3月期 売上高388.39億円／経常利益6.08億円／従業員 男220名・女136名（2025年3月31日現在）」を返した。従業員数の基準日が2025年3月31日で固定されている＝検索インデックスが1期前のスナップショットであることを示しており、G列の398.64億円（2026年3月期）と矛盾しない（388.39億→398.64億で前期比+2.6%）。加えてRULES §6-1は当該ページの表記が「398. 64億円」と小数点が分断されている実例として記録し、§8は常洋水産398.64億をローカルスクレイパーとエージェントの独立2手法で一致確認済みと記録している。法人格は株式会社、独立系（親会社）、出典は自社HP会社概要＝承認ソース①、鮮度も§3-8を満たす。1次の「要再確認」のままでは架電できたはずの企業を落とす側の実害（RULES §1）が出るため○に倒す。残る論点はG列の期表記のみで、判定・金額規模には影響しない。,https://www.joyosuisan.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81; https://www.joyosuisan.com/%E3%81%94%E3%81%82%E3%81%84%E3%81%95%E3%81%A4
3,001Nn00000eVELT,9300001008400,伊藤ハム米久フーズ株式会社,"○ 妥当：伊藤ハム米久HDの子会社だが単体で1,200億円級＝300億超のため子会社ルール（§3-3）を満たす。法人格は株式会社、出典はグループ公式サイト（承認ソース）。なお同ドメイン内の採用ページ（会社／伊藤ハム米久フーズ）では「売上高1,219億円」表記、外部集計では2025年3月期1,231.76億円とされており、G列の1,228億円とは期ずれによる差異の可能性がある。300億基準に対して桁が大きく離れているため判定への影響はなし。",https://www.itoham-yonekyu-holdings.com/foods/; https://www.itoham-yonekyu-holdings.com/Portals/0/saiyo/group/foods/
4,001Nn00000eVELU,2010401046060,フォンテラジャパン株式会社,"△ 要再確認：金額自体は整合。第45期（2025年7月期）売上高約859.7億円は独立の検索結果でも一致し、§6-6で警告されている流通値「800億2,500万円」（Yahoo!しごとカタログ／SalesNow／Baseconnect）に引きずられていない点は良い。問題は出典で、H列・J列のURLがcatr.jp（官報決算公告を収録した民間二次サイト）である。官報そのものは承認ソースだがcatr.jpは官報ではなく、RULES §7-1で先方の承認可否が未確定のまま。○＝架電OKの根拠がcatr.jp単独であるため、官報原本または自社公表資料への差し替え、もしくは濱本さんへのcatr.jp可否確認が必要。法人格は株式会社で問題なし、外資日本法人だが単体859.71億円で300億超。",https://catr.jp/companies/620b2/148115/settlements/cc9b1/435657; https://ryo-nakamura1.hatenablog.jp/entry/2026/01/30/170000_4
5,001Nn00000eVEba,6180001081173,ヤマザキマザックトレーディング株式会社,"○ 妥当：H列の記載内容を裏取りできた。catr.jpの同社ページに収録されているのは第56期（1,002.81億円）・第57期（1,316.48億円）・第58期（1,445.88億円）までで、それ以降の売上高開示は検索でも発見できず。H列の「2020年3月期時点では1,445.88億円（第58期）」は金額・期ともに整合し、§3-8（直近3期以内でなければ確認不可）に従ってG列「確認不可」・H列△とした処理はルール通り。当たったソースの列挙もある。なお参考値の出典がcatr.jpである点は§7-1の未確定事項だが、結論が除外側のため架電事故のリスクはない。",https://catr.jp/companies/6a0df/27605; https://catr.jp/settlements/d7da0/189352; https://www.mazak.com/jp-ja/about-us/company-outline/
6,001Nn00000eVM5f,7010001034873,カーギルジャパン合同会社,○ 妥当：社名どおり合同会社であり§3-6により法人格NG。売上高を調べる必要がなく、G列「対象外（合同会社）」・H列「× 法人格」の書式もルール§4通り。RULES §8の検出済み事例（6行目 カーギルジャパン合同会社）とも一致。,
7,001Nn00000eVM5o,2010401082262,東和産業株式会社,○ 妥当：法人番号2010401082262はgBizINFO上「東和産業株式会社（東京都港区新橋3-20-1）」で、towa-js.co.jp（UNO／DUO／ZoRoN／アサヒを運営するアミューズメント企業、1974年設立、代表 岸野誠）と一致。§6-2の同名法人取り違えはなし（冷凍空調の東和産業株式会社・家庭日用品のTOWA東和産業とは別法人）。売上高は「2025年4月期982億円／2024年4月期923億円」がマイナビ転職・doda・Baseconnect・NIKKEI COMPASS等の禁止ソースにのみ掲載され、自社HP企業情報には売上高記載なし。§6-6そのものの型であり、G列「確認不可」・H列△は正しい。軽微な点として、H列のURLは/business/company-information/だが検索でヒットする企業情報ページは/business/company.htmlであり、リンク切れの可能性があるため差し替えが望ましい。,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010401082262; http://www.towa-js.co.jp/business/company.html
8,001Nn00000eVM5z,1180001093025,加藤化学株式会社,"○ 妥当：自社HPの企業情報ページおよび採用サイト「ABOUT（数字で見る加藤化学）」を検索で当たったが、いずれにも売上高の記載を確認できなかった。RULES §6-6が「加藤化学 → 確認不可が正解」と名指しで記載している事例そのもので、流通している『2024年3月期 761億8,200万円』（就活会議・Baseconnect・doda等）を採用していない点も正しい。G列「確認不可」・H列△＋当たったソースの列挙という書式も§4に適合。",https://www.katokagaku.co.jp/corporate/company.html; https://www.katokagaku.co.jp/saiyo/about/
9,001Nn00000eVM6E,6180001036004,ゴムノイナキ株式会社,"○ 妥当：自社HP会社概要（inaki.co.jp/company/profile.html）で「売上高428億円（2026年4月期／海外子会社を除く＝単体）」を確認でき、G列の428.20億円（42,820百万円）と桁・単位ともに一致。決算期4月30日という記載も整合。法人格は株式会社、承認ソース①（自社公式サイト会社概要）で300億超が裏取りできており○判定は正しい。",https://inaki.co.jp/company/profile.html
10,001Nn00000eVM6U,2180001094419,豊田スチールセンター株式会社,"○ 妥当：第66期（決算末日2026年3月31日）売上高189億6,500万円を独立に確認でき、G列の189.65億円と完全一致。前期第65期は200.36億円で推移も整合。法人番号2180001094419はgBizINFO上「豊通メタルソリューションズ株式会社」となっており、H列の商号変更の注記も正しい。豊田通商の子会社で単体300億未満＝§3-3により一律NG、G列の【300億未満】プレフィックスも§4通り付与されている。旧基準686.64億円の併記も§6-3の要求どおり。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2180001094419; https://catr.jp/companies/f5f17/26831; https://prtimes.jp/finance/2180001094419/settlement
11,001Nn00000eVM6a,6010701007411,株式会社ＪＡＬＵＸ,○ 妥当：親子関係の記載は正しく、JALUXはSJフューチャーHD48.14%／双日22.22%／日本航空21.56%／日本空港ビルデング8.08%の出資構成で日本航空の連結子会社。子会社だが単体426.92億円で300億超のため§3-3を満たし、出典もjalux.com（自社サイトの決算公告PDF）＝承認ソース。§6-4の確定値（単体426.92億円／連結892.26億円）とも一致。ただし軽微な整合性の問題として、H列は単体を第65期（2026年3月期）としながら参考の連結値を2025年3月期と記載しており期がずれている。また検索上はjalux.comの決算公告ページで確認できる最新が第64期と表示され、引用PDF（jalux_closing_2606.pdf）の存在をWebSearchでは確認できなかった。金額・判定への影響はないが期の表記は整理が望ましい。,https://www.jalux.com/profile/fin_announcements.html; https://www.jalux.com/profile/information.html
12,001Nn00000eVM6f,4100001025387,綿半ソリューションズ株式会社,"○ 妥当：出典が綿半HDの有価証券報告書「関係会社の状況」＝承認ソース②で、子会社単体値を親の連結値と取り違えていない（§6-4クリア）。綿半HDの2026年3月期連結売上高が1,354.51億円であること、および綿半ソリューションズが「売上高（内部売上高を除く）の連結売上高に占める割合が10%超」の関係会社として有報に記載されていることを確認でき、単体376.34億円という規模感と矛盾しない。単体300億超のため子会社ルールも満たす。なお有報PDF本文はWebSearchの全文検索対象外のため376.34億円という数値そのものの再読み取りはできていない（同社の官報決算公告は貸借対照表のみで売上高非掲載）。",https://catr.jp/settlements/60eef/208272; https://catr.jp/companies/65fc6/20903; https://finance.yahoo.co.jp/quote/3199.T/financials
