行,取引先名,法人番号,未検証の疑い,I列,J列
5,ヤマザキマザックトレーディング株式会社,6180001081173,,"○ 妥当：H列の記載内容を裏取りできた。catr.jpの同社ページに収録されているのは第56期（1,002.81億円）・第57期（1,316.48億円）・第58期（1,445.88億円）までで、それ以降の売上高開示は検索でも発見できず。H列の「2020年3月期時点では1,445.88億円（第58期）」は金額・期ともに整合し、§3-8（直近3期以内でなければ確認不可）に従ってG列「確認不可」・H列△とした処理はルール通り。当たったソースの列挙もある。なお参考値の出典がcatr.jpである点は§7-1の未確定事項だが、結論が除外側のため架電事故のリスクはない。",https://catr.jp/companies/6a0df/27605; https://catr.jp/settlements/d7da0/189352; https://www.mazak.com/jp-ja/about-us/company-outline/
7,東和産業株式会社,2010401082262,,○ 妥当：法人番号2010401082262はgBizINFO上「東和産業株式会社（東京都港区新橋3-20-1）」で、towa-js.co.jp（UNO／DUO／ZoRoN／アサヒを運営するアミューズメント企業、1974年設立、代表 岸野誠）と一致。§6-2の同名法人取り違えはなし（冷凍空調の東和産業株式会社・家庭日用品のTOWA東和産業とは別法人）。売上高は「2025年4月期982億円／2024年4月期923億円」がマイナビ転職・doda・Baseconnect・NIKKEI COMPASS等の禁止ソースにのみ掲載され、自社HP企業情報には売上高記載なし。§6-6そのものの型であり、G列「確,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010401082262; http://www.towa-js.co.jp/business/company.html
8,加藤化学株式会社,1180001093025,YES,"○ 妥当：自社HPの企業情報ページおよび採用サイト「ABOUT（数字で見る加藤化学）」を検索で当たったが、いずれにも売上高の記載を確認できなかった。RULES §6-6が「加藤化学 → 確認不可が正解」と名指しで記載している事例そのもので、流通している『2024年3月期 761億8,200万円』（就活会議・Baseconnect・doda等）を採用していない点も正しい。G列「確認不可」・H列△＋当たったソースの列挙という書式も§4に適合。",https://www.katokagaku.co.jp/corporate/company.html; https://www.katokagaku.co.jp/saiyo/about/
42,株式会社キリウ,8060001019712,,○ 妥当（△判定が正しい）。住友商事の公式サイトでキリウが2004年7月に住友商事グループ入りし100%子会社であること、2017年2月27日の株式交換（住友商事99.76%＋住商アビーム0.24%）で完全子会社化されたことを確認。したがってキリウは子会社であり§3-3により連結834億円は使えず、単体300億以上の裏取りが必須。単体売上高は自社HPでも非公表で、住友商事連結売上高に対する比率が小さく有報の関係会社の状況にも単体損益は載らないため、承認ソースからは取得不能。G列「確認不可」・H列△（当たったソースの列挙あり）は§3-5/§4の要件を満たしており、リストから外すのが正しい結論。,https://www.sumitomocorp.com/ja/jp/business/case/group/kiriu; https://www.sumitomocorp.com/-/media/Files/hq/news/release/2017/20170227_3/29793_ext_31_0.pdf; https://www.kiriu.co.jp/company/profile/
49,セイノースーパーエクスプレス株式会社,9010601041061,,○ 妥当 自社HP会社案内・電子公告ページ・セイノーHD側IRを当たり直したが、承認ソースに単体売上高の記載を確認できず。ヒットするのはマイナビ（646億94百万円/2025年3月期）・Yahoo!しごとカタログ・Baseconnect・Wikipedia等の禁止ソースのみで、§3-5により確認不可＝載せないが正しい結論。H列の当たったソース列挙も具体的で監査可能。なお禁止ソース値は300億超のため、承認ソースが見つかれば○に転じ得る行として再調査候補。,https://www.seino.co.jp/ssx/company/about/;https://www.seino.co.jp/ssx/company/ir/;https://www.seino.co.jp/seino/media/pdf-lib/shd/ir-pdf/financialdata/202503yuho.pdf
51,株式会社クレストレード,3010401119377,,"○ 妥当 親会社・株式会社西原商会の自社HPでグループ売上高1,390億円（2026年2月期）を確認でき、H列の記載と一致。ただしこれはグループ連結であり、クレストレードは子会社のため§3-3により使用不可。単体売上高は自社HP・gBizINFO・官報決算公告いずれにも記載を確認できず、△確認不可が正しい結論。",https://www.nishihara-shokai.co.jp/business/gaiyou/;https://www.crestrade.co.jp/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3010401119377
58,株式会社江東微生物研究所,1011701002852,,"○ 妥当 自社HP会社概要・gBizINFOを当たり直したが売上高の記載を確認できず、△確認不可は妥当。ヒットするのはマイナビ・キャリタス就活・Baseconnect等の禁止ソースのみ（そこでの記載は207億7,000万円/2025年6月期で、仮に正しくても300億未満）。従業員数はH列の1,080名に対し禁止ソース側は1,053名（2025年7月1日）と差異があるが判定には影響しない。",https://www.koutou-biken.co.jp/about/company-profile/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1011701002852
61,株式会社カツヨシ商事,1370001021305,,○ 妥当 自社HP（メルヘングループ）会社情報を当たり直したが売上高の記載はなく、EDINET提出もなし。ヒットするのはBaseconnect・OpenWork・jobtalk等の禁止ソースと業界メディアのみで、いずれも決算期と売上高が明記された数値ではない。パチンコホール運営で決算公告も貸借対照表のみというH列の記載と整合し、△確認不可が正しい結論。,https://meruhengrp.jp/company/;https://www.meruhengrp.jp/
196,株式会社ツルハ,1430001010672,,"○ 妥当（G列訂正）：判定○は維持。ただし1次の「ツルハHD有報 関係会社の状況 126,019百万円(2025年5月期)」は金額シード検索で一度も再現せず、citation を確認できない。代わりにツルハHD自社HP IR「2024年5月期決算説明会資料」の事業会社別売上高が承認ソース経路として存在し、(株)ツルハ＝150,826百万円(＝1,508.26億円)との返りと87,112百万円との返りが混在し値は未確定。いずれにせよ1,433店舗を擁するグループ中核事業会社で単体871〜1,508億円と300億を大きく超え、子会社単体基準§3-3を満たすため判定は安定。G列の金額・決算期は原本P",https://www.tsuruha-hd.com/content/files/ir/result/material/2024/20240621.pdf ; https://www.tsuruha-hd.com/ir/result/material/ ; https://www.tsuruha-hd.co.jp/ir/p/financial/ ; https://disclosure2dl.ed
246,楽天モバイル株式会社,2010901041404,,"○ 回収：楽天グループ株式会社の公式IR（2025年度通期決算ハイライト／決算説明会プレゼンテーション資料）で、楽天モバイルの売上収益 3,747億円（2025年12月期・前年同期比32.0%増）、モバイルセグメント売上収益 4,828億円（同）を確認。加えて楽天グループの有価証券報告書『関係会社の状況』において楽天モバイル株式会社は「売上収益が連結売上収益の10%を超える」子会社として主要な損益情報等が記載されており、連結売上収益2兆4,966億円（2025年12月期）の10%＝約2,497億円超が単体規模の下限となる。子会社だが単体で300億円を大幅に超過し架電可。※採用値は3,747億円",https://corp.rakuten.co.jp/news/press/2026/0212_01.html ; https://corp.rakuten.co.jp/investors/assets/doc/documents/25Q4MAINPPT_J.pdf ; https://corp.rakuten.co.jp/investors/assets/doc/documents/25Q4ta
